No,Nama Perusahaan,Kode Saham,Kode Subindustri,Sektor,Subsektor,Industri,Subindustri,Index,PER,PBV,ROE %,ROA %,DER,Mkt Cap,Total Rev,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,NPM %,MTD,YTD
743,Ristia Bintang Mahkotasejati Tbk,RBMS,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, ISSI",-8.50,0.20,-2.36,-1.42,0.66,92967448910,136585131028,16.22,-10.42,72.00,38.71,-8.01,13.16,48.28
744,PT Utama Radar Cahaya Tbk,RCCC,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,ABX,50.08,3.67,7.32,3.41,1.14,184275000000,70286752215,-5.73,-24.58,50.83,-44.82,5.23,-16.20,-48.87
745,Roda Vivatex Tbk,RDTX,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, IDXSMC-COM, ISSI",9.23,1.00,10.79,9.60,0.12,3232320000000,425197922993,1.04,2.32,-4.89,-13.21,82.33,-1.82,-10.66
746,Repower Asia Indonesia Tbk,REAL,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",18.60,1.20,6.46,6.42,0.01,451085490268,7457909911,4.00,25.81,143.75,766.67,325.21,20.00,766.67
747,PT Graha Mitra Asia Tbk. ,RELF,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,ABX,20.15,1.00,4.95,3.94,0.26,240568952190,17623388446,4.65,-21.05,104.55,150.00,67.74,7.14,136.84
748,Reliance Sekuritas Indonesia Tbk,RELI,G312,Financials,Investment Service,Investment Services,Investment Banking & Brokerage Services,"COMPOSITE, DBX, IDXFINANCE",290.21,1.76,0.61,0.46,0.32,1089000000000,13166382254,-5.51,-6.25,35.14,32.74,28.50,1.69,2.56
749,PT Kian Santang Muliatama Tbk.,RGAS,A132,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services","COMPOSITE, DBX, IDXENERGY, ISSI",40.30,1.57,3.89,3.41,0.14,144464176890,175235931942,4.00,-11.11,-21.21,2.97,2.05,1.96,10.64
750,Ricky Putra Globalindo Tbk,RICY,E411,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,"Clothing, Accessories & Bags","COMPOSITE, IDXCYCLIC",-0.18,-0.17,,-15.96,-6.86,39144768110,464534331393,36.51,6.17,126.32,17.81,-46.56,28.36,22.86
751,Rig Tenders Indonesia Tbk,RIGS,A122,Energy,"Oil, Gas & Coal",Coal,Coal Distribution,"COMPOSITE, DBX, IDXENERGY, ISSI",5.15,0.54,10.42,10.21,0.02,465984450000,77684273893,-5.81,-8.75,-16.57,-19.34,116.57,-5.19,-13.61
752,Rimo International Lestari Tbk,RIMO,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, IDXSMC-COM",,0.37,1.17,1.07,0.09,2254030000000,507988787224,0.00,0.00,0.00,0.00,14.21,0.00,0.00
753,Jaya Sukses Makmur Sentosa Tbk,RISE,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, DBX, IDXPROPERT, IDXSMC-COM, ISSI",2042.81,47.56,2.33,1.82,0.28,129971875000000,294148059026,0.83,728.77,760.19,802.99,21.63,-10.15,789.71
754,RMK Energy Tbk,RMKE,A122,Energy,"Oil, Gas & Coal",Coal,Coal Distribution,"COMPOSITE, IDXENERGY, IDXSMC-COM, ISSI, MBX",73.29,9.01,12.29,8.54,0.44,16668750000000,1122459712098,64.04,353.89,758.82,742.31,20.26,17.11,776.00
755,PT Royaltama Mulia Kontraktorindo Tbk.,RMKO,A132,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services","COMPOSITE, DBX, IDXENERGY, ISSI",-5.10,1.73,-33.94,-9.99,2.40,305000000000,219388735607,8.65,68.66,111.21,47.71,-27.27,-4.24,52.70
756,Rockfields Properti Indonesia Tbk,ROCK,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",96.81,1.19,1.23,1.06,0.17,975925868000,99656686010,288.50,175.83,556.75,495.32,10.12,94.71,495.32
757,Pikko Land Development Tbk,RODA,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, ISSI",-9.88,0.29,-2.89,-1.81,0.60,598053641196,141437234808,6.52,2.08,58.06,16.67,-42.78,8.89,25.64
758,PT Aesler Grup Internasional Tbk,RONY,J211,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,"COMPOSITE, DBX, IDXINFRA, IDXSMC-COM, ISSI",35892.73,1094.19,3.05,2.25,0.36,5425000000000,430000000,-10.93,28.09,28.09,215.23,35.15,-12.16,111.02
759,Nippon Indosari Corpindo Tbk,ROTI,D222,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",19.64,2.55,12.97,6.88,0.88,4918258665960,2742471714303,-0.63,-1.25,-5.95,-20.60,9.13,-0.63,-18.56
760,PT Charlie Hospital Semarang Tbk.,RSCH,F121,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers,"COMPOSITE, DBX, IDXHEALTH, IDXSMC-COM, ISSI",-58.06,7.99,-13.76,-6.56,1.10,1054700000000,46582546686,16.40,18.28,4.27,40.13,-39.00,12.82,52.78
761,Kedoya Adyaraya Tbk,RSGK,F121,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers,"COMPOSITE, IDXHEALTH, ISSI",26.93,1.10,4.09,3.13,0.31,911081500000,342061834526,0.00,0.00,0.00,-6.67,9.89,0.00,-2.49
762,Radiant Utama Interinsco Tbk,RUIS,A132,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services","COMPOSITE, DBX, IDXENERGY, ISSI",10.03,0.27,2.69,1.11,1.41,152460000000,1474710911958,8.33,-4.59,20.93,20.23,1.03,5.58,27.61
763,Global Sukses Solusi Tbk,RUNS,I131,Technology,Software & IT Services,Software,Software,ABX,1298.56,1.52,0.12,0.09,0.34,100322903250,11827688715,-2.02,-7.62,90.20,40.58,0.65,-13.39,97.96
764,Steady Safe Tbk,SAFE,K132,Transportation & Logistic,Transportation,Passenger Land Transportation,Road Transportation,"COMPOSITE, DBX, IDXTRANS, ISSI",12.73,11.39,89.46,8.57,9.44,225010858288,160277786047,34.92,85.79,74.36,60.38,11.03,23.19,63.46
765,PT Saptausaha Gemilangindah Tbk,SAGE,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, ISSI",-54.30,0.82,-1.51,-1.34,0.12,232972290540,3032452877,6.67,-20.00,128.57,128.57,-141.47,3.23,128.57
766,Sarana Meditama Metropolitan Tbk,SAME,F121,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers,"COMPOSITE, IDXHEALTH, IDXSMC-COM, ISSI, MBX",141.68,1.63,1.15,0.83,0.38,6824558752910,1367289935982,35.44,38.06,64.62,42.67,3.52,13.23,60.90
767,Saraswanti Anugerah Makmur Tbk,SAMF,B112,Basic Materials,Basic Materials,Chemicals,Agricultural Chemicals,"COMPOSITE, IDXBASIC, IDXSMC-COM, ISSI, MBX",12.18,2.08,17.12,8.27,1.07,3239000000000,2923849539363,-1.89,-4.88,-7.69,-60.25,9.10,-0.64,-59.74
768,PT Satria Antaran Prima Tbk.,SAPX,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,"COMPOSITE, DBX, IDXTRANS, ISSI",320.30,1.47,0.46,0.22,1.08,296666654800,402304792738,-0.65,0.66,-10.00,-83.09,0.23,0.00,-81.62
769,Kota Satu Properti Tbk,SATU,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",-42.45,7.34,-17.30,-3.86,3.48,346500000000,18395828245,-2.31,5.83,17.59,6.72,-44.37,0.79,1.60
770,PT Sejahtera Bintang Abadi Textile Tbk.,SBAT,E413,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Textiles,"COMPOSITE, IDXCYCLIC",,0.03,-49.52,-11.36,3.36,4752982378,11085614084,0.00,0.00,0.00,0.00,-659.04,0.00,0.00
771,Surya Biru Murni Acetylene Tbk,SBMA,B111,Basic Materials,Basic Materials,Chemicals,Basic Chemicals,"COMPOSITE, DBX, IDXBASIC, ISSI",8.71,0.51,5.83,4.75,0.23,119030564096,102754142882,0.78,-3.70,4.00,4.00,13.30,0.78,6.56
772,Supreme Cable Manufacturing & Commerce Tbk,SCCO,C131,Industrials,Industrial Goods,Electrical,Electrical Components & Equipment,"COMPOSITE, DBX, IDXINDUST, IDXSMC-COM, ISSI",6.32,0.35,5.54,5.20,0.06,1948930632000,5816165687238,-3.72,1.30,5.91,6.88,5.30,-2.10,9.91
773,Surya Citra Media Tbk,SCMA,E612,Consumer Cyclicals,Media & Entertainment,Media,Broadcasting,"COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, IDX80, IDXCYCLIC, IDXESGL, IDXLQ45LCL, IDXQ30, IDXSMC-COM, IDXSMC-LIQ, KOMPAS100, LQ45, MBX",42.17,3.59,8.51,6.75,0.26,28552639828930,5046430852000,18.33,39.22,155.09,117.35,13.42,13.30,155.09
774,Selaras Citra Nusantara Perkasa Tbk,SCNP,E212,Consumer Cyclicals,Household Goods,Household Goods,Household Appliances,"COMPOSITE, DBX, IDXCYCLIC, ISSI",26.57,1.16,4.37,3.55,0.23,402500000000,170298116520,-0.63,-14.21,-0.63,-9.25,8.89,-1.88,-2.48
775,Organon Pharma Indonesia Tbk,SCPI,F211,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals,"COMPOSITE, IDXHEALTH, ISSI",0.43,0.08,19.25,11.43,0.68,104400000000,2907780868000,0.00,0.00,0.00,0.00,8.41,0.00,0.00
776,Sidomulyo Selaras Tbk,SDMU,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,"COMPOSITE, DBX, IDXTRANS",-6.84,4.66,-68.12,-9.48,6.19,87412325000,58559222298,75.86,47.83,308.00,292.31,-21.83,10.87,264.29
777,Millennium Pharmacon International Tbk,SDPC,D111,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Drug Retail & Distributors,"COMPOSITE, DBX, IDXNONCYC",10.47,0.59,5.59,0.88,5.34,175812000000,3002174952376,14.29,21.21,25.98,15.94,0.56,15.94,21.21
778,PT Bank Woori Saudara Indonesia 1906 Tbk,SDRA,G111,Financials,Banks,Banks,Banks,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",55.03,0.31,0.56,0.13,3.34,4189037181120,2957612000000,-0.70,-6.00,-15.06,-34.72,2.60,0.00,-32.21
779,Semacom Integrated Tbk,SEMA,A211,Energy,Alternative Energy,Alternative Energy Equipment,Alternative Energy Equipment,"COMPOSITE, DBX, IDXENERGY, ISSI",18.82,1.00,5.33,3.16,0.69,172449131776,110023356714,23.53,28.57,44.83,46.51,8.33,3.28,50.00
780,Surya Fajar Capital Tbk,SFAN,G511,Financials,Holding & Investment Companies,Holding & Investment Companies,Financial Holdings,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",-138.01,18.42,-13.21,-10.40,0.27,2631472330635,5462767529,1.04,1.30,0.78,5.71,-349.04,0.26,5.71
781,Sumber Global Energy Tbk,SGER,A122,Energy,"Oil, Gas & Coal",Coal,Coal Distribution,"COMPOSITE, I-GRADE, IDXENERGY, IDXSMC-COM, ISSI, MBX",22.86,2.73,11.95,5.20,1.30,6390632869580,5217450009017,-13.22,22.09,20.00,5.00,5.36,2.44,9.95
782,PT Sampoerna Agro Tbk,SGRO,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, IDXNONCYC, IDXSMC-COM, ISSI, MBX",9.85,2.11,21.39,12.94,0.65,13548733900000,4612824000000,26.58,64.47,198.80,264.08,29.83,1.01,255.45
783,Hotel Sahid Jaya International Tbk,SHID,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",-19.73,1.47,-7.47,-4.19,0.78,1018586812880,72781074210,3.45,1.12,25.87,-5.26,-70.95,1.69,-5.26
784,Sillo Maritime Perdana Tbk,SHIP,A112,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Storage & Distribution,"COMPOSITE, IDXENERGY, IDXSMC-COM, MBX",55.48,3.95,7.13,3.34,1.13,14414887000000,2135097272412,-16.87,13.99,62.23,392.86,12.17,-0.96,412.38
785,PT Sigma Energy Compressindo Tbk,SICO,A132,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services","COMPOSITE, DBX, IDXENERGY, ISSI",10.05,0.94,9.33,7.44,0.25,125590731432,117805706528,-2.94,10.00,25.71,23.36,10.60,-3.65,32.00
786,Industri Jamu dan Farmasi Sido Muncul Tbk,SIDO,F211,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX80, IDXESGL, IDXHEALTH, IDXHIDIV20, IDXQ30, IDXSMC-COM, IDXSMC-LIQ, IDXVESTA28, Investor33, ISSI, JII70, KOMPAS100, MBX, SRI-KEHATI",13.50,4.79,35.48,32.35,0.10,16350000000000,2728983000000,-7.08,-0.94,2.94,-9.48,44.39,-2.78,-10.26
787,PT Siloam International Hospitals Tbk.,SILO,F121,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDXHEALTH, IDXSMC-COM, ISSI, MBX",31.11,3.34,10.74,7.39,0.45,31995067500000,9425533000000,1.63,14.75,16.90,-18.89,10.91,0.40,-18.09
788,Siwani Makmur Tbk,SIMA,B131,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,"COMPOSITE, IDXBASIC",,-11.04,,-12.23,-130.53,22129493550,3279364783,0.00,0.00,0.00,0.00,-968.25,0.00,0.00
789,Salim Ivomas Pratama Tbk,SIMP,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, ESGSKEHATI, IDXNONCYC, IDXSMC-COM, ISSI, MBX",4.44,0.37,8.41,5.54,0.52,9610812200000,14920420000000,-12.40,-11.02,32.01,41.25,14.49,-7.38,49.47
790,Singaraja Putra Tbk,SINI,C121,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures,"COMPOSITE, IDXINDUST, IDXSMC-COM",-115.22,-7.00,,-3.07,-2.98,4810000000000,287258651044,18.25,118.92,106.11,52.83,-14.53,-19.00,62.00
791,Sreeya Sewu Indonesia Tbk,SIPD,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry","COMPOSITE, IDXNONCYC, IDXSMC-COM, ISSI",60.17,1.10,1.82,0.73,1.50,1324153480320,3934951000000,26.24,22.76,24.48,6.59,0.56,23.61,7.23
792,Sekar Bumi Tbk,SKBM,D222,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods,"COMPOSITE, DBX, IDXNONCYC, ISSI",33.01,0.85,2.56,1.27,1.01,882352640670,2168595394210,0.00,36.87,37.64,28.95,1.23,-2.97,-9.26
793,Sekar Laut Tbk,SKLT,D222,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",11.96,1.66,13.87,8.11,0.71,1588703150000,1931266837255,14.29,28.34,27.66,26.98,6.88,3.45,20.00
794,Superkrane Mitra Utama Tbk,SKRN,C141,Industrials,Industrial Goods,Machinery,Construction Machinery & Heavy Vehicles,"COMPOSITE, IDXINDUST, IDXSMC-COM, ISSI, MBX",21.04,7.91,37.60,14.63,1.57,4725000000000,622341776805,-19.86,44.09,42.68,61.60,36.08,-2.50,77.27
795,PT Northcliff Citranusa Indonesia Tbk.,SKYB,I131,Technology,Software & IT Services,Software,Software,"COMPOSITE, IDXTECHNO",,0.99,-2.83,-2.24,0.26,29835000000,3656159800,0.00,0.00,0.00,0.00,-23.35,0.00,0.00
796,Gaya Abadi Sempurna Tbk,SLIS,E742,Consumer Cyclicals,Retailing,Specialty Retail,Electronics Retail,"COMPOSITE, DBX, IDXCYCLIC, ISSI",-21.35,0.59,-2.77,-2.30,0.21,201993720838,129631200303,17.07,-5.88,92.00,88.24,-7.30,18.52,92.00
797,PT Sinas Mas Agro Resources and Technology Tbk,SMAR,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, IDXNONCYC, IDXSMC-COM, ISSI, MBX",7.84,0.67,8.59,4.25,1.02,14432771664150,65654355000000,-7.90,-16.83,31.84,23.56,2.80,-3.48,31.84
798,Semen Baturaja (Persero) Tbk,SMBR,B121,Basic Materials,Basic Materials,Construction Materials,Construction Materials,"COMPOSITE, IDXBASIC, IDXSMC-COM, ISSI, MBX",11.84,0.84,7.07,4.99,0.42,2840704820096,1782302629000,-4.11,-4.76,-7.89,27.27,13.46,-3.45,37.25
799,Solusi Bangun Indonesia Tbk,SMCB,B121,Basic Materials,Basic Materials,Construction Materials,Construction Materials,"COMPOSITE, IDXBASIC, IDXSMC-COM, ISSI",8.77,0.54,6.12,3.91,0.56,6990021029075,7878869000000,0.00,0.00,0.00,0.65,10.12,0.00,4.03
800,Suryamas Dutamakmur Tbk,SMDM,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, IDXSMC-COM, ISSI",260.72,1.40,0.54,0.49,0.09,4485809942780,200351276569,1.84,0.61,-9.29,59.62,8.59,-0.60,59.62
801,Samudera Indonesia Tbk,SMDR,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,"COMPOSITE, I-GRADE, IDXSMC-COM, IDXTRANS, IDXVESTA28, ISSI, KOMPAS100, MBX",5.49,0.39,7.18,3.97,0.81,5010933600000,9540426406056,5.96,-3.03,8.11,13.48,9.56,3.90,15.94
802,PT Sumber Mineral Global Abadi Tbk,SMGA,B146,Basic Materials,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,"COMPOSITE, DBX, IDXBASIC, ISSI",18.91,2.53,13.39,6.34,1.11,1006250000000,1321166054021,-5.50,-9.65,21.18,51.47,4.03,-7.21,77.59
803,Semen Indonesia (Persero) Tbk,SMGR,B121,Basic Materials,Basic Materials,Construction Materials,Construction Materials,"COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, I-GRADE, IDX30, IDX80, IDXBASIC, IDXBUMN20, IDXESGL, IDXMESBUMN, IDXSMC-COM, IDXSMC-LIQ, IDXV30, Investor33, ISSI, JII, JII70, KOMPAS100, LQ45, MBX, SMinfra18, SRI-KEHATI",171.03,0.41,0.24,0.15,0.60,19646981658990,25304654000000,6.39,1.80,-3.08,-16.27,0.45,-1.39,-13.72
804,PT Sarana Mitra Luas Tbk,SMIL,C141,Industrials,Industrial Goods,Machinery,Construction Machinery & Heavy Vehicles,"COMPOSITE, IDXINDUST, IDXSMC-COM, ISSI, MBX",41.35,5.64,13.63,8.84,0.54,4218304091198,325445190967,-18.37,-38.46,52.67,102.02,31.35,-19.68,104.08
805,Satyamitra Kemas Lestari Tbk,SMKL,B131,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,"COMPOSITE, DBX, IDXBASIC, ISSI",30.31,0.59,1.96,0.78,1.52,567402158140,1399844721735,-5.68,1.84,6.41,3.11,1.34,-3.49,-1.19
806,PT Sumber Mas Konstruksi Tbk,SMKM,J211,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,ABX,45.83,0.71,1.56,1.52,0.02,147854000000,35819018400,-30.26,-31.61,30.86,43.24,9.01,-8.62,63.08
807,PT Sinergi Multi Lestarindo Tbk,SMLE,B111,Basic Materials,Basic Materials,Chemicals,Basic Chemicals,"COMPOSITE, DBX, IDXBASIC, ISSI",-566.33,6.08,-1.07,-0.58,0.85,637913935152,153592162616,-13.73,73.68,100.00,114.63,-0.73,-2.22,131.58
808,Sinarmas Multiartha Tbk,SMMA,G511,Financials,Holding & Investment Companies,Holding & Investment Companies,Financial Holdings,"COMPOSITE, IDXFINANCE, MBX",27.59,2.89,10.48,2.45,3.28,82779641321000,15451678000000,0.00,-15.03,-18.11,-10.65,19.42,0.78,-10.96
809,Golden Eagle Energy Tbk,SMMT,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"COMPOSITE, DBX, IDXENERGY, IDXSMC-COM, ISSI",71.31,8.96,12.56,4.70,1.67,4914875000000,1510121500992,-14.24,19.92,55.38,87.66,4.56,-0.69,97.95
810,Summarecon Agung Tbk,SMRA,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, ECONOMIC30, I-GRADE, IDX80, IDXLQ45LCL, IDXPROPERT, IDXSMC-COM, IDXSMC-LIQ, IDXV30, ISSI, JII70, KOMPAS100, MBX",6.44,0.43,6.62,2.67,1.48,6372307386188,6411443492000,-5.58,-16.96,-11.85,-27.77,15.43,-4.62,-27.06
811,SMR Utama Tbk,SMRU,A132,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services","COMPOSITE, IDXENERGY",-8.83,-30.72,,-10.69,-33.55,624969289100,59786199722,0.00,0.00,0.00,0.00,-118.38,0.00,0.00
812,Selamat Sempurna Tbk,SMSM,E111,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDXCYCLIC, IDXSMC-COM, ISSI, MBX, SRI-KEHATI",8.48,2.25,26.51,21.91,0.21,9530607853200,3918810000000,-7.90,-10.58,-9.87,-13.55,28.69,-1.74,-12.44
813,Sunter Lakeside Hotel Tbk,SNLK,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, DBX, IDXCYCLIC, ISSI",-35.58,1.14,-3.21,-2.54,0.26,185400000000,30054397989,-2.91,-13.42,-27.27,-56.28,-17.34,-2.44,-37.01
814,Soechi Lines Tbk,SOCI,A112,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Storage & Distribution,"COMPOSITE, DBX, IDXENERGY, IDXSMC-COM, ISSI",5.23,0.22,4.28,2.79,0.54,1538862000000,1970262153288,48.60,65.63,98.75,85.96,14.93,41.96,89.29
815,Boston Furniture Industries Tbk,SOFA,E211,Consumer Cyclicals,Household Goods,Household Goods,Home Furnishings,ABX,-638.50,12.36,-1.94,-1.45,0.33,562215329660,23057933344,67.48,649.09,586.67,553.97,-3.82,10.16,858.14
816,Soho Global Health Tbk,SOHO,F211,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals,"COMPOSITE, DBX, IDXHEALTH, IDXSMC-COM, ISSI",35.25,6.87,19.50,9.63,1.03,18593314701350,5168993000000,-31.62,91.10,103.65,116.28,10.20,0.72,116.28
817,PT Xolare RCR Energy Tbk,SOLA,B121,Basic Materials,Basic Materials,Construction Materials,Construction Materials,"COMPOSITE, DBX, IDXBASIC, ISSI",14.71,2.46,16.72,10.34,0.62,417131500000,172342386246,-3.08,-10.64,-9.35,152.00,16.46,5.00,152.00
818,Sona Topas Tourism Industry Tbk,SONA,E731,Consumer Cyclicals,Retailing,Department Stores,Department Stores,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",21.97,2.28,10.40,7.41,0.40,1589760000000,678560128426,-12.55,-48.38,-39.73,-65.16,10.67,-5.11,-45.07
819,Shield on Service Tbk,SOSS,C231,Industrials,Industrial Services,Professional Services,Human Resource & Employment Services,"COMPOSITE, IDXINDUST, ISSI",-112.65,2.52,-2.23,-1.30,0.71,727466950210,1511808131663,-20.41,-23.15,70.31,13.87,-0.43,-9.83,74.89
820,Satria Mega Kencana Tbk,SOTS,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, DBX, IDXCYCLIC, ISSI",-23.98,2.29,-9.53,-4.18,1.28,418001663222,14853833306,229.75,286.69,286.69,255.96,-117.34,171.46,278.52
821,PT Mitra Tirta Buwana Tbk,SOUL,D212,Consumer Non-Cyclicals,Food & Beverage,Beverages,Soft Drinks,ABX,-25.68,2.79,-10.88,-10.04,0.08,96344833847,1332996631,17.07,3.23,159.46,100.00,-281.46,7.87,113.33
822,Suparma Tbk,SPMA,B131,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,"COMPOSITE, DBX, IDXBASIC, ISSI",17.41,0.41,2.38,1.65,0.45,1016878724624,1990050141391,-13.97,-18.18,-13.97,-22.52,2.93,-4.88,-22.00
823,PT Soraya Berjaya Indonesia Tbk,SPRE,E413,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Textiles,ABX,37.07,1.92,5.19,4.60,0.13,96000000000,37035265073,21.31,92.21,-26.00,-35.65,6.99,29.82,-9.76
824,Surya Pertiwi Tbk,SPTO,C121,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures,"COMPOSITE, IDXINDUST, IDXSMC-COM, ISSI, MBX",6.72,0.72,10.73,7.56,0.42,1768500000000,2003975289035,-3.76,-5.19,-9.22,-2.29,13.12,-0.78,-0.78
825,Wilton Makmur Indonesia Tbk,SQMI,B143,Basic Materials,Basic Materials,Metals & Minerals,Gold,"COMPOSITE, IDXBASIC",-7.35,-42.31,,-16.97,-34.95,668116431447,925582073,0.00,0.00,-4.44,30.30,-9827.13,0.00,48.28
826,Sejahteraraya Anugrahjaya Tbk,SRAJ,F121,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers,"COMPOSITE, DBX, IDXHEALTH, ISSI",-1705.32,141.50,-8.30,-1.57,4.27,205002579832500,1875068000000,20.38,82.81,324.20,543.15,-6.41,-6.18,575.85
827,PT Sri Rejeki Isman Tbk,SRIL,E413,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Textiles,"COMPOSITE, IDXCYCLIC, IDXSMC-COM",,-0.19,,-21.29,-1.58,2986017819224,3042869699784,0.00,0.00,0.00,0.00,-62.95,0.00,0.00
828,Indo Acidatama Tbk,SRSN,B111,Basic Materials,Basic Materials,Chemicals,Basic Chemicals,"COMPOSITE, DBX, IDXBASIC",7.86,0.49,6.20,4.17,0.49,379260000000,953096660000,-3.03,-5.88,28.00,28.00,5.06,0.00,28.00
