Booking_ID,Tanggal_Checkin,Tipe_Kamar,Harga_Per_Malam,Jumlah_Malam,Channel_Booking,Customer_Type,Cancellation,Rating,Repeat_Booking,Total_Revenue,Weekend
HTL0269,2026-09-26,Deluxe,632062,7,Website Hotel,Family,Tidak,3.5,Tidak,4424434,True
HTL0270,2026-09-27,Deluxe,457395,5,OTA,Family,Tidak,4.2,Ya,2286975,True
HTL0271,2026-09-28,Family,1075820,6,Website Hotel,Business,Tidak,3.9,Tidak,6454920,False
HTL0272,2026-09-29,Standard,524178,2,OTA,Business,Ya,4.6,Tidak,1048356,False
HTL0273,2026-09-30,Standard,567960,5,Website Hotel,Leisure,Ya,3.8,Ya,2839800,False
HTL0274,2026-10-01,Deluxe,1149200,6,OTA,Business,Tidak,4.1,Tidak,6895200,False
HTL0275,2026-10-02,Family,1178496,5,Website Hotel,Business,Tidak,3.7,Tidak,5892480,False
HTL0276,2026-10-03,Suite,509187,2,OTA,Leisure,Tidak,4.7,Tidak,1018374,True
HTL0277,2026-10-04,Standard,1427678,4,OTA,Leisure,Tidak,3.8,Tidak,5710712,True
HTL0278,2026-10-05,Standard,1355826,1,Website Hotel,Business,Tidak,4.3,Tidak,1355826,False
HTL0279,2026-10-06,Standard,1264414,1,Website Hotel,Family,Tidak,4.0,Tidak,1264414,False
HTL0280,2026-10-07,Deluxe,1701886,3,OTA,Business,Tidak,3.6,Ya,5105658,False
HTL0281,2026-10-08,Family,1323942,5,OTA,Family,Tidak,4.5,Tidak,6619710,False
HTL0282,2026-10-09,Standard,1679500,5,Travel Agent,Business,Tidak,3.9,Tidak,8397500,False
HTL0283,2026-10-10,Family,1697804,1,Travel Agent,Family,Tidak,2.8,Ya,1697804,True
HTL0284,2026-10-11,Standard,448208,1,Travel Agent,Leisure,Tidak,5.0,Ya,448208,True
HTL0285,2026-10-12,Standard,1487696,3,OTA,Business,Tidak,4.4,Ya,4463088,False
HTL0286,2026-10-13,Standard,853517,5,OTA,Family,Tidak,4.7,Ya,4267585,False
HTL0287,2026-10-14,Family,1757432,4,Website Hotel,Family,Tidak,5.0,Ya,7029728,False
HTL0288,2026-10-15,Deluxe,872702,1,OTA,Business,Tidak,4.9,Tidak,872702,False
HTL0289,2026-10-16,Deluxe,796976,2,OTA,Leisure,Tidak,3.5,Ya,1593952,False
HTL0290,2026-10-17,Family,1612405,1,Website Hotel,Business,Tidak,4.4,Tidak,1612405,True
HTL0291,2026-10-18,Deluxe,769393,4,Website Hotel,Business,Tidak,3.6,Tidak,3077572,True
HTL0292,2026-10-19,Standard,964892,5,Website Hotel,Leisure,Tidak,3.6,Tidak,4824460,False
HTL0293,2026-10-20,Deluxe,1060835,5,Website Hotel,Business,Tidak,4.0,Tidak,5304175,False
HTL0294,2026-10-21,Suite,726281,7,Travel Agent,Business,Tidak,4.5,Tidak,5083967,False
HTL0295,2026-10-22,Standard,578040,7,Website Hotel,Business,Tidak,4.4,Ya,4046280,False
HTL0296,2026-10-23,Suite,1291039,5,Website Hotel,Family,Tidak,4.0,Ya,6455195,False
HTL0297,2026-10-24,Deluxe,1339737,1,Website Hotel,Business,Tidak,4.7,Ya,1339737,True
HTL0298,2026-10-25,Standard,954293,6,OTA,Business,Tidak,3.7,Ya,5725758,True
HTL0299,2026-10-26,Standard,1700245,7,Website Hotel,Leisure,Tidak,5.0,Ya,11901715,False
HTL0300,2026-10-27,Deluxe,1551182,5,OTA,Family,Tidak,4.5,Ya,7755910,False
